Month,Day,Year,GOES,Notes
May,1,2021,0,no
May,2,2021,1,far offshore 14-16 deg C
May,3,2021,1,far offshore 14-16 deg C
May,4,2021,no data,
May,5,2021,1,far offshore 14-16 deg C
May,6,2021,no data,
May,7,2021,0,no
May,8,2021,1,pockets may be clouds: 18-14 diff
May,9,2021,1,little data: 18-14 diff
May,10,2021,no data,
May,11,2021,no data,
May,12,2021,0,no
May,13,2021,no data,
May,14,2021,1,far offshore 14-16 deg C
May,15,2021,1,far offshore 14-16 deg C
May,16,2021,no data,
May,17,2021,1,little data; far offshore 14-16 deg C
May,18,2021,1,little data; far offshore 14-16 deg C
May,19,2021,0,little data/no; mixing present
May,20,2021,0,no
May,21,2021,0,no
May,22,2021,0,no
May,23,2021,no data,
May,24,2021,no data,
May,25,2021,no data,
May,26,2021,no data,
May,27,2021,0,no
May,28,2021,0,no
May,29,2021,0,no
May,30,2021,no data,
May,31,2021,no data,
June,1,2021,no data,
June,2,2021,0,little data/no; mixing present
June,3,2021,no data,
June,4,2021,no data,
June,5,2021,no data,
June,6,2021,0,little data/no; mixing present
June,7,2021,0,no
June,8,2021,1,"yes,~18-~20 deg c"
June,9,2021,1,little data
June,10,2021,no data,
June,11,2021,no data,
June,12,2021,no data,
June,13,2021,no data,
June,14,2021,0,no
June,15,2021,0,no; little data
June,16,2021,0,no; little data
June,17,2021,0,no
June,18,2021,no data,
June,19,2021,0,no
June,20,2021,0,little data
June,21,2021,no data,
June,22,2021,no data,
June,23,2021,0,little data
June,24,2021,0,little data
June,25,2021,0,little data
June,26,2021,no data,
June,27,2021,0,little data
June,28,2021,no data,
June,29,2021,1,"little data, ~18-~22"
June,30,2021,1,"little data, ~18-~22"
July,1,2021,1,"little data, ~18-~22"
July,2,2021,1,"little data, ~18-~22"
July,3,2021,no data,
July,4,2021,no data,
July,5,2021,1,"little data, ~18-~22"
July,6,2021,1,~20-~22
July,7,2021,1,~20-~22
July,8,2021,1,little data; ~20-~23
July,9,2021,1,little data; ~20-~23
July,10,2021,0,little data
July,11,2021,no data,
July,12,2021,no data,
July,13,2021,no data,
July,14,2021,0,no
July,15,2021,0,little data
July,16,2021,0,little data
July,17,2021,0,little data
July,18,2021,0,little data
July,19,2021,0,little data
July,20,2021,no data,
July,21,2021,no data,
July,22,2021,0,no
July,23,2021,1,~20-~22
July,24,2021,0,no
July,25,2021,0,no
July,26,2021,no data,
July,27,2021,no data,
July,28,2021,0,no
July,29,2021,1,~20-~22/24
July,30,2021,0,little data
July,31,2021,0,no
August,1,2021,0,no; little data
August,2,2021,no data,
August,3,2021,1,~22-~24
August,4,2021,no data,
August,5,2021,no data,
August,6,2021,no data,
August,7,2021,no data,
August,8,2021,no data,
August,9,2021,no data,
August,10,2021,0,little data
August,11,2021,0,no
August,12,2021,0,little data
August,13,2021,0,little data
August,14,2021,0,little data
August,15,2021,no data,
August,16,2021,no data,
August,17,2021,0,little data
August,18,2021,0,little data
August,19,2021,no data,
August,20,2021,0,little data
August,21,2021,0,little data
August,22,2021,no data,
August,23,2021,0,little data
August,24,2021,0,little data
August,25,2021,0,no
August,26,2021,0,no
August,27,2021,0,no
August,28,2021,0,no
August,29,2021,0,little data
August,30,2021,0,little data
August,31,2021,0,no
September,1,2021,no data,
September,2,2021,no data,
September,3,2021,no data,
September,4,2021,0,no
September,5,2021,0,no
September,6,2021,0,little data
September,7,2021,0,little data
September,8,2021,0,no
September,9,2021,no data,
September,10,2021,no data,
September,11,2021,0,no
September,12,2021,0,no
September,13,2021,0,no
September,14,2021,0,no
September,15,2021,0,little data
September,16,2021,0,no
September,17,2021,no data,
September,18,2021,no data,
September,19,2021,0,little data
September,20,2021,0,no
September,21,2021,0,no
September,22,2021,0,little data
September,23,2021,no data,
September,24,2021,0,little data
September,25,2021,0,little data
September,26,2021,0,little data
September,27,2021,0,no
September,28,2021,0,no
September,29,2021,0,little data
September,30,2021,0,little data
October,1,2021,0,little data
October,2,2021,0,no
October,3,2021,0,no
October,4,2021,0,no
October,5,2021,0,little data
October,6,2021,no data,
October,7,2021,no data,
October,8,2021,0,little data
October,9,2021,0,little data
October,10,2021,no data,
October,11,2021,no data,
October,12,2021,0,"no, little data, drop in sst"
October,13,2021,no data,
October,14,2021,0,little data
October,15,2021,0,little data
October,16,2021,0,no
October,17,2021,0,no
October,18,2021,0,no
October,19,2021,0,no
October,20,2021,0,no
October,21,2021,0,no
October,22,2021,0,no
October,23,2021,0,little data
October,24,2021,0,little data
October,25,2021,0,little data
October,26,2021,no data,
October,27,2021,no data,
October,28,2021,no data,
October,29,2021,no data,
October,30,2021,no data,
October,31,2021,0,no; cold water
May,1,2022,1,"farther offshore, 14-16"
May,2,2022,1,^^
May,3,2022,no data,
May,4,2022,1,"assuming, little data"
May,5,2022,,
May,6,2022,no data,
May,7,2022,1,"assuming, little data"
May,8,2022,no data,
May,9,2022,no data,
May,10,2022,no data,from website
May,11,2022,0,"no, little data"
May,12,2022,0,no
May,13,2022,no data,
May,14,2022,no data,
May,15,2022,no data,
May,16,2022,0,little data
May,17,2022,0,"no, little data"
May,18,2022,0,"no, little data"
May,19,2022,0,"no, little data"
May,20,2022,0,"no, little data"
May,21,2022,no data,
May,22,2022,0,"no, little data"
May,23,2022,no data,
May,24,2022,no data,
May,25,2022,no data,
May,26,2022,no data,
May,27,2022,no data,
May,28,2022,0,"no, little data"
May,29,2022,no data,
May,30,2022,0,no
May,31,2022,0,no
June,1,2022,0,no
June,2,2022,0,no
June,3,2022,0,no
June,4,2022,0,"no, little data"
June,5,2022,0,no
June,6,2022,0,no
June,7,2022,0,no
June,8,2022,no data,
June,9,2022,no data,
June,10,2022,no data,
June,11,2022,1,14/16 - 17
June,12,2022,no data,
June,13,2022,no data,
June,14,2022,1,little data
June,15,2022,no data,
June,16,2022,1,"yes, in VERY small areas"
June,17,2022,1,little data- guessing
June,18,2022,1,"yes, little data, 18-22"
June,19,2022,no data,
June,20,2022,1,14 or 16 - 19ish
June,21,2022,1,14/16 - 19ish
June,22,2022,no data,
June,23,2022,0,little data
June,24,2022,0,little data
June,25,2022,1,18-20
June,26,2022,0,no
June,27,2022,0,little data
June,28,2022,0,little data
June,29,2022,no data,
June,30,2022,0,little data
July,1,2022,0,no
July,2,2022,0,no
July,3,2022,0,no
July,4,2022,1,~18-~22/24
July,5,2022,1,~18-~22
July,6,2022,1,~18-~22
July,7,2022,1,~20-~22
July,8,2022,0,"no, little data"
July,9,2022,1,yes
July,10,2022,no data,
July,11,2022,no data,
July,12,2022,1,~21-~23
July,13,2022,1,"yes, little data"
July,14,2022,0,little data
July,15,2022,no data,
July,16,2022,no data,
July,17,2022,0,little data
July,18,2022,0,little data
July,19,2022,no data,
July,20,2022,1,little data; ~21-~23
July,21,2022,1,~20/22-~24
July,22,2022,1,~20/22-~24
July,23,2022,1,~20/22-~24
July,24,2022,1,"little data, ~22-~24"
July,25,2022,1,~21/22-~24/25
July,26,2022,1,little data
July,27,2022,no data,
July,28,2022,no data,
July,29,2022,0,little data
July,30,2022,0,little data
July,31,2022,0,little data
August,1,2022,1,little data; ~20-~25
August,2,2022,no data,
August,3,2022,1,22-24
August,4,2022,0,no
August,5,2022,0,little data
August,6,2022,no data,
August,7,2022,0,little data
August,8,2022,0,little data
August,9,2022,1,little data; 20-24
August,10,2022,no data,
August,11,2022,1,20-24
August,12,2022,no data,
August,13,2022,no data,
August,14,2022,1,20-24
August,15,2022,1,little data; 20-24
August,16,2022,no data,
August,17,2022,no data,
August,18,2022,1,21-23
August,19,2022,1,21-23/24
August,20,2022,1,21-23/24
August,21,2022,no data,
August,22,2022,0,little data
August,23,2022,no data,
August,24,2022,0,little data
August,25,2022,0,little data
August,26,2022,0,little data
August,27,2022,0,no
August,28,2022,0,no
August,29,2022,0,no
August,30,2022,0,no
August,31,2022,0,no
September,1,2022,0,no
September,2,2022,0,no
September,3,2022,0,no
September,4,2022,no data,
September,5,2022,no data,
September,6,2022,no data,
September,7,2022,no data,
September,8,2022,no data,
September,9,2022,no data,
September,10,2022,0,"no, colder water up north"
September,11,2022,0,"no, colder water up north"
September,12,2022,no data,
September,13,2022,no data,
September,14,2022,no data,
September,15,2022,0,no
September,16,2022,0,no
September,17,2022,0,no
September,18,2022,0,no
September,19,2022,0,no
September,20,2022,0,no
September,21,2022,0,no
September,22,2022,0,no
September,23,2022,0,no
September,24,2022,0,no
September,25,2022,0,little data
September,26,2022,0,little data
September,27,2022,0,no
September,28,2022,0,no
September,29,2022,0,no
September,30,2022,no data,
October,1,2022,no data,
October,2,2022,no data,
October,3,2022,no data,
October,4,2022,0,little data
October,5,2022,no data,
October,6,2022,no data,
October,7,2022,0,colder water now
October,8,2022,0,"no, ~1/2 degree difference?"
October,9,2022,no data,
October,10,2022,0,"no, ~1/2 degree difference?"
October,11,2022,0,"no, ~1/2 degree difference?"
October,12,2022,0,no
October,13,2022,0,no
October,14,2022,no data,
October,15,2022,0,no
October,16,2022,0,no
October,17,2022,0,no
October,18,2022,no data,
October,19,2022,no data,
October,20,2022,0,no
October,21,2022,0,no
October,22,2022,0,no
October,23,2022,0,no
October,24,2022,no data,
October,25,2022,no data,
October,26,2022,0,little data
October,27,2022,0,no
October,28,2022,0,no
October,29,2022,0,no
October,30,2022,no data,
October,31,2022,0,little data