Wind Speed,Percent of Nameplate Power,Power
0,0,0
1,0,0
2,0,0
3,0.4,60
4,3,450
5,7.1,1065
6,13.3,1995
7,21.8,3270
8,33.1,4965
9,47.2,7080
10,63.9,9585
11,81.3,12195
12,93.6,14040
13,98.4,14760
14,100,15000
15,100,15000
16,100,15000
17,100,15000
18,100,15000
19,100,15000
20,100,15000
21,100,15000
22,100,15000
23,100,15000
24,98,14700
25,94.6,14190
26,85.8,12870
27,73,10950
28,50,7500
29,29.6,4440
30,15,2250
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0